Tên doanh nghiệp,Tên giao dịch,Mã số thuế,Địa chỉ,Tình trạng hoạt động,Ngày cấp giấy phép,Ngành nghề kinh doanh,Link
CÔNG TY TNHH TM VÀ DV ĐIỆN LẠNH BẮC VIỆT,"BAC VIET TM AND DV CO.,LTD",111087091,"Số 56 đường Phạm Văn Đồng, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),13/06/2025,Bán buôn đồ dùng khác cho gia đình,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-TM-Va-DV-Dien-Lanh-Bac-Viet-87091.html
CÔNG TY TNHH IHY FOOD,"IHYFOOD CO., LTD",111086771,"Sn7, Ngõ 102/51 Phố Hoàng Đạo Thành, Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),12/6/2025,Bán buôn thực phẩm,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Ihy-Food-86771.html
CÔNG TY TNHH PHUC AN INTERNATIONAL,,111086034,"Số 45 Ngô Thì Nhậm, Phường Phạm Đình Hổ, Quận Hai Bà Trưng, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),12/6/2025,Bán buôn đồ dùng khác cho gia đình,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Phuc-An-International-86034.html
CÔNG TY CỔ PHẦN SOILTEC,SOILTEC JSC,111086362,"Tầng 3, Tòa nhà công nghệ AC, số 3, ngõ 78, đường Duy Tân, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),12/6/2025,Hoạt động xây dựng chuyên dụng khác,https://infodoanhnghiep.com/thong-tin/Cong-Ty-Co-Phan-Soiltec-86362.html
CÔNG TY CỔ PHẦN JUNO GREEN,"JUNO GREEN.,JSC",111085915,"Số 14A, Ngõ 301 Đường Trường Chinh, Phường Khương Mai, Quận Thanh Xuân, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),12/6/2025,"Bán buôn nông, lâm sản nguyên liệu (trừ gỗ, tre, nứa) và động vật sống",https://infodoanhnghiep.com/thong-tin/Cong-Ty-Co-Phan-Juno-Green-85915.html
CÔNG TY TNHH TĂM TRE VIÊN NÉN BA NGHIÊM,,111085545,"Xóm 7, thôn Phú Lương Thượng, Xã Quảng Phú cầu, Huyện ứng Hoà, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),12/6/2025,"Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Tam-Tre-Vien-Nen-Ba-Nghiem-85545.html
CÔNG TY TNHH VẬN TẢI VÀ XÂY DỰNG MINH KHÔI,"MINH KHOI TRANS & CONSTR CO., LTD",111085584,"Xóm 3, thôn Viên Ngoại, Xã Hoa Viên, Huyện ứng Hoà, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),12/6/2025,"Bán lẻ đồ ngũ kim, sơn, kính và thiết bị lắp đặt khác trong xây dựng trong các cửa hàng chuyên doanh",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Van-Tai-Va-Xay-Dung-Minh-Khoi-85584.html
CÔNG TY TNHH GIẦY DÉP TUẤN LAN STORE,,111085577,"Số Nhà 09, Thôn Mãn Xoan, Xã Kim Đường, Huyện ứng Hoà, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),12/6/2025,"Sản xuất giày, dép",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Giay-Dep-Tuan-Lan-Store-85577.html
CÔNG TY TNHH SEN MƯỜNG,"SEN MUONG CO.,LTD",111085986,"sốll ngõ 339 Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),12/6/2025,"Dịch vụ tắm hơi, massage và các dịch vụ tăng cường sức khoẻ tương tự (trừ hoạt động thể thao)",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Sen-Muong-85986.html
CÔNG TY CỔ PHẦN TƯ VẤN PHƯƠNG ÁN TÀI CHÍNH,PATC COMPANY,111085143,"Số 48 ngõ 100 đường Trần Duy Hưng, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),12/6/2025,Cung ứng và quản lý nguồn lao động,https://infodoanhnghiep.com/thong-tin/Cong-Ty-Co-Phan-Tu-Van-Phuong-An-Tai-Chinh-85143.html
CÔNG TY TNHH TMDV BẢO YẾN,,111085552,"SỐ41, đường Vân Trì, Xã Vân Nội, Huyện Đông Anh, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),12/6/2025,Bán buôn đồ dùng khác cho gia đình,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-TMDV-Bao-Yen-85552.html
CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI VÀ XÂY DỰNG ĐÌNH KHÁNH,,111085538,"Số nhà 41, ngõ 147, tuyến 5, xóm 2, Thôn Vĩnh Thanh, Xã Vĩnh Ngọc, Huyện Đông Anh, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),12/6/2025,,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-San-Xuat-Thuong-Mai-Va-Xay-Dung-Dinh-Khanh-85538.html
CÔNG TY CỔ PHẦN ĐT VÀ PT S CAPITAL,,111085150,"Số 144, ngõ 42, phố Nguyễn Vĩnh Bảo, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),12/6/2025,"Bán lẻ thuốc, dụng cụ y tế, mỹ phẩm và vật phẩm vệ sinh trong các cửa hàng chuyên doanh",https://infodoanhnghiep.com/thong-tin/Cong-Ty-Co-Phan-Dt-Va-Pt-S-Capital-85150.html
CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ CAO PHƯƠNG,"CAO PHUONG.,LTD",111086027,"Số 116 HA, Phố Nguyễn Công Trứ, Phường Phố Huế, Quận Hai Bà Trưng, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),12/6/2025,"Bán buôn máy móc, thiết bị và phụ tùng máy khác",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Thuong-Mai-Va-Dich-Vu-Cao-Phuong-86027.html
CÔNG TY TNHH XUẤT NHẬP KHẨU VÀ THƯƠNG MẠI SMAX VIỆT NAM,"SMAX VIETNAM CO .,LTD",111085954,"Số 8 ngách 10/31 Đường Tôn Thất Tùng, Phường Khương Thượng, Quận Đống đa, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),12/6/2025,"Bán buôn thiết bị và linh kiện điện tử, viễn thông",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Xuat-Nhap-Khau-Va-Thuong-Mai-Smax-Viet-Nam-85954.html
CÔNG TY TNHH THE MEDIA STORE,,111085746,"Số 1/70 ngõ Linh Quang, Phường Văn Chương, Quận Đống đa, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),12/6/2025,Bán lẻ hàng hóa khác mới trong các cửa hàng chuyên doanh,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-The-Media-Store-85746.html
CÔNG TY TNHH TMDV VÀNG BẠC ĐÁ QUÝ HOÀNG KIM,,111085947,"Số 153 Giảng Võ, Phường Cát Linh, Quận Đống đa, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),12/6/2025,Bán lẻ hàng hóa khác mới trong các cửa hàng chuyên doanh,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-TMDV-Vang-Bac-Da-Quy-Hoang-Kim-85947.html
CÔNG TY TNHH SẢN XUẤT VÀ PHÁT TRIỂN THƯƠNG MẠI DỊCH VỤ THÀNH CÔNG,,111085908,"Số 12 ngách 183/4 phố Đặng Tiến Đông, Phường Trung Liệt, Quận Đống đa, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),12/6/2025,Bán buôn đồ uống,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-San-Xuat-Va-Phat-Trien-Thuong-Mai-Dich-Vu-Thanh-Cong-85908.html
CÔNG TY TNHH NAM PHÁT HN,"NAM PHAT HN CO.,LTD",111086563,"Số nhà 100 Thôn Rùa Thượng, Xã Thanh Thùy, Huyện Thanh Oai, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),12/6/2025,Gia công cơ khí; xử lý và tráng phủ kim loại,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Nam-Phat-Hn-86563.html
CÔNG TY TNHH VISEMI VIỆT NAM,VISEMI,111085104,"44-Bt4 Khu Đô Thị Mới cầu Bươu, Xã Tân Triều, Huyện Thanh Trì, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),12/6/2025,Giáo dục khác chưa được phân vào đâu,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Visemi-Viet-Nam-85104.html
CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ XUẤT NHẬP KHẨU TM ORIGINAL. VIỆT NAM,,111085182,"Số 5 Ngõ 105 đường Chiến Thắng , Phường Văn Quán, Quận Hà Đông, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),12/6/2025,"Bán buôn thiết bị và linh kiện điện tử, viễn thông",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Thuong-Mai-Va-Dich-Vu-Xuat-Nhap-Khau-TM-Original-Viet-Nam-85182.html
CÔNG TY TNHH CLOUDVIET WORLDWIDE,"CLOUDVIET WORLDWIDE CO.,LTD",111086299,"Số 06, đường Nguyệt Quế 25, KĐT Vinhomes The Harmony, Phường Phúc Đồng, Quận Long Biên, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),12/6/2025,"Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Cloudviet-Worldwide-86299.html
CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ XUÂN KIỀU,,111085168,"Số 3, Ngõ 108 phố Đại An, Tổ 6, Phường Văn Quán, Quận Hà Đông, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),12/6/2025,Bán lẻ  khác trong các cửa hàng kinh doanh tổng hợp,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Thuong-Mai-Va-Dich-Vu-Xuan-Kieu-85168.html
CÔNG TY TNHH THD VIỆT NAM,"THD VIET NAM CO., LTD",111085249,"LK8-L5, Khu đấu giá QSD đất Mậu Lương, Phường Kiến Hưng, Quận Hà Đông, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),12/6/2025,"Bán buôn máy móc, thiết bị và phụ tùng máy khác",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Thd-Viet-Nam-85249.html
CÔNG TY TNHH APIXA GROUP,,111085217,"Tầng 12 Khu văn phòng, Khối c, Tòa nhà Hồ Gươm Plaza, số 102 Trần Phú, Phường Mộ Lao, Quận Hà Đông, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),12/6/2025,Lập trình máy vi tính,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Apixa-Group-85217.html
CÔNG TY TNHH OUKEYA VIỆT NAM,"OUKEYA VIETNAM CO., LTD",111085295,"Số 2 ngõ 130/41 đường La Nội, Phường Dương Nội, Quận Hà Đông, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),12/6/2025,Bán buôn đồ dùng khác cho gia đình,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Oukeya-Viet-Nam-85295.html
CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI THÉP MẠNH HẰNG,,111085270,"SỐ361Ô A5 Khu Công Nghiệp Phùng Xá, Xã Phùng Xá, Huyện Thạch Thất, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),12/6/2025,Bán buôn kim loại và quặng kim loại,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-San-Xuat-Va-Thuong-Mai-Thep-Manh-Hang-85270.html
CÔNG TY TNHH SXTM & DV KIM QUẾ,"KIM QUE SXTM & DV CO., LTD",111085224,"C10-05, Khu đô thị Geleximco, đường Lê Trọng Tấn, Phường Dương Nội, Quận Hà Đông, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),12/6/2025,"Bán buôn vải, hàng may mặc, giày dép",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Sxtm-DV-Kim-Que-85224.html
CÔNG TY TNHH GIỐNG CÂY TRỒNG CÔNG NGHỆ CAO ISRAEL VIỆT NAM,,111085721,"Số nhà 17, ngách 9, ngõ 280 đường cổ Nhuế, Phường cổ Nhuế 2, Quận Bắc Từ Liêm, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),12/6/2025,Nhân và chăm sóc cây giống hàng năm,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Giong-Cay-Trong-Cong-Nghe-Cao-Israel-Viet-Nam-85721.html
CÔNG TY TNHH KINH DOANH THỰC PHẨM AN PHÁT TP,,111085231,"Số 10, ngõ 1008/31 Đường Quang Trung, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),12/6/2025,Bán buôn thực phẩm,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Kinh-Doanh-Thuc-Pham-An-Phat-Tp-85231.html
CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ SA CHI,"SA CHI TRADING AND SERVICE CO.,LTD",111085866,"Số 1B ngách 50/30 Đại Cát, Phường Liên Mạc, Quận Bắc Từ Liêm, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),12/6/2025,Dịch vụ hỗ trợ giáo dục,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Thuong-Mai-Va-Dich-Vu-Sa-Chi-85866.html
CÔNG TY TNHH SANVIKANA,,111085739,"Số 519 Phạm Văn Đồng, TDP Hoàng 13, Phường cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),12/6/2025,"Hoạt động chuyên môn, khoa học và công nghệ khác chưa được phân vào đâu",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Sanvikana-85739.html
CÔNG TY TNHH VÀNG BẠC THỊNH ĐẠT,,111086186,"Số 289 đường Lĩnh Nam, Phường Vĩnh Hưng, Quận Hoàng Mai, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),12/6/2025,Bán lẻ hàng hóa khác mới trong các cửa hàng chuyên doanh,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Vang-Bac-Thinh-Dat-86186.html
CÔNG TY TNHH VY KÍNH VIỆT NAM,VY KÍNH VIỆT NAM,111086080,"Số 8 ngõ 989 Tam Trinh, Phường Yên Sở, Quận Hoàng Mai, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),12/6/2025,Bán lẻ hàng hóa khác mới trong các cửa hàng chuyên doanh,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Vy-Kinh-Viet-Nam-86080.html
CÔNG TY TNHH XUẤT NHẬP KHẨU THỦ CÔNG MỸ NGHỆ PHÚC VINH,"PHUC VINH HANDICRAET CO.,LTD",111085658,"Số Nhà 06, Đường Hoa Sen, Thôn Bối Khê, Xã Chuyên Mỹ, Huyện Phú Xuyên, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),12/6/2025,Bán buôn chuyên doanh khác chưa được phân vào đâu,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Xuat-Nhap-Khau-Thu-Cong-My-Nghe-Phuc-Vinh-85658.html
CÔNG TY TNHH KINH DOANH THƯƠNG MẠI PHƯƠNG LAN,,111084904,"Số 4/3 đường Thanh Vỵ, Phường Sơn Lộc, Thị Xã Sơn Tây, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),12/6/2025,Bán buôn thực phẩm,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Kinh-Doanh-Thuong-Mai-Phuong-Lan-84904.html
CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ TỔNG HỢP ANH THƯ,,111084943,"Số 190 Hoàng Công Chất, Phường Phú Diễn, Quận Bắc Từ Liêm, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),12/6/2025,"Bán lẻ lương thực, thực phẩm, đồ uống, thuốc lá, thuốc lào chiếm tỷ trọng lớn trong các cửa hàng kinh doanh tổng hợp",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Thuong-Mai-Va-Dich-Vu-Tong-Hop-Anh-Thu-84943.html
CÔNG TY CỔ PHẦN TQD VIỆT NAM,"TQD VIET NAM.,JSC",111084245,"LK12-N02, Dự án đầu tư nhà ở thấp tầng tại khu lò gạch ( giai đoạn II), Xã Cự Khê, Huyện Thanh Oai, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),11/6/2025,"Sản xuất mỹ phẩm, xà phòng, chất tẩy rửa, làm bóng và chế phẩm vệ sinh",https://infodoanhnghiep.com/thong-tin/Cong-Ty-Co-Phan-Tqd-Viet-Nam-84245.html
CÔNG TY TNHH THỰC PHẨM CÚC SƠN,,111083650,"Xóm 1, Thôn Hoàng Xá, Xã Hoàng Kim, Huyện Mê Linh, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),11/6/2025,"Bán lẻ lương thực, thực phẩm, đồ uống, thuốc lá, thuốc lào lưu động hoặc tại chợ",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Thuc-Pham-Cuc-Son-83650.html
CÔNG TY TNHH BALO - CẶP SÁCH ĐẠT THU,"DAT THU BACKPACK - SCHOOL BAG CO.,LTD",111083996,"Số 143 Nguyễn Quý Trị, Xã Kiêu Kỵ, Huyện Gia Lâm, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),11/6/2025,"Bán lẻ hàng may mặc, giày dép, hàng da và giả da trong các cửa hàng chuyên doanh",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Balo-Cap-Sach-Dat-Thu-83996.html
CÔNG TY CỔ PHẦN THỰC PHẨM KOVINCO,"KOVINCO FOODS .,JSC",111058855,"số 198 ngõ 198 đường Phố Huế, Phường Nguyễn Du, Quận Hai Bà Trưng, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),22/05/2025,Sản xuất thực phẩm khác chưa được phân vào đâu,https://infodoanhnghiep.com/thong-tin/Cong-Ty-Co-Phan-Thuc-Pham-Kovinco-58855.html
CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ THƯƠNG MẠI VIK,"VIK TAI.,JSC",111055780,"Tầng 3, Tòa nhà Viwaseen, số 48 Tố Hữu, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),22/05/2025,Bán buôn kim loại và quặng kim loại,https://infodoanhnghiep.com/thong-tin/Cong-Ty-Co-Phan-Dau-Tu-Va-Thuong-Mai-Vik-55780.html
CÔNG TY CỔ PHẦN PHÁT TRIỂN ĐẦU TƯ AN PHÚ,"AN PHU INVESTMENT DEVELOPMENT ., JSC",111058044,"Liền ke 1-D02, Khu đô thị Splendora Bắc An Khánh, Xã An Khánh, Huyện Hoài Đức, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),22/05/2025,"Hoạt động chăm sóc sứckhoẻ người có công, người già và người khuyết tật không có khảnăng tự chăm sóc",https://infodoanhnghiep.com/thong-tin/Cong-Ty-Co-Phan-Phat-Trien-Dau-Tu-An-Phu-58044.html
CÔNG TY CỔ PHẦN PHÁT TRIỂN DỊCH VỤ TOÀN TÂM,"TOAN TAM SERVICE DEVELOPMENT., JSC",111058005,"Liền kềl- E06, Khu đô thị Splendora Bắc An Khánh, Xã An Khánh, Huyện Hoài Đức, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),22/05/2025,Hoạt động bảo vệ tư nhân,https://infodoanhnghiep.com/thong-tin/Cong-Ty-Co-Phan-Phat-Trien-Dich-Vu-Toan-Tam-58005.html
CÔNG TY TNHH OCTA-PLUS,,111058661,"Tầng 9, Toà Nhà HL số 6/82 Duy Tân , Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),22/05/2025,"Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Octa-Plus-58661.html
CÔNG TY TNHH MTV THƯƠNG MẠI & DỊCH VỤ THANH HUYỀN,"THANH HUYEN TRADING & SERVICES CO., LTD",111058710,"Số 176, đường La Phù, thôn Chùa Tổng, Xã La Phù, Huyện Hoài Đức, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),22/05/2025,Bán buôn đồ uống,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-MTV-Thuong-Mai-Dich-Vu-Thanh-Huyen-58710.html
CÔNG TY TNHH CÔNG ĐÔN,"CONG DON CO., LTD",111058460,"Thửa đất số 362B Tờ Bản Đồ 5 Huyền Kỳ, Phường Phú Lãm, Quận Hà Đông, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),21/05/2025,"Bán buôn máy móc, thiết bị và phụ tùng máy khác",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Cong-Don-58460.html
CÔNG TY CỔ PHẦN RISON,"RISON., JSC",111058573,"Số 4, Liền Ke 4, Khu Đô Thị Văn Khê, Phường La Khê, Quận Hà Đông, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),21/05/2025,Bán lẻ theo yêu cầu đặt hàng qua bưu điện hoặc internet,https://infodoanhnghiep.com/thong-tin/Cong-Ty-Co-Phan-Rison-58573.html
CÔNG TY TNHH VIETNAM WANDER,,111058647,"Số 6D ngách 1 ngõ 78 Phố Bồ Đe, Phường Bồ Đe, Quận Long Biên, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),21/05/2025,Điều hành tua du lịch,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Vietnam-Wander-58647.html
CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN NGHỆ THUẬT VIET PASSION,,111058622,"Số 102 Đường Cái Làng, đội 3, Xã Hồng Minh, Huyện Phú Xuyên, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),21/05/2025,Sản xuất nhạc cụ,https://infodoanhnghiep.com/thong-tin/Cong-Ty-Co-Phan-Dau-Tu-Va-Phat-Trien-Nghe-Thuat-Viet-Passion-58622.html
CÔNG TY CỔ PHẦN VTUP28,"VTUP28., JSC",111058608,"Liền kề 04, Lô 08, Ngõ 67 Phùng Khoang, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),21/05/2025,Giáo dục khác chưa được phân vào đâu,https://infodoanhnghiep.com/thong-tin/Cong-Ty-Co-Phan-Vtup28-58608.html
CÔNG TY TNHH TMV QUỐC TẾ VENUS GROUP,,111058485,"Số nhà Dml-16 ngõ 242 đường Vạn Phúc, Phường Vạn Phúc, Quận Hà Đông, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),21/05/2025,"Bán lẻ thuốc, dụng cụ y tế, mỹ phẩm và vật phẩm vệ sinh trong các cửa hàng chuyên doanh",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Tmv-Quoc-Te-Venus-Group-58485.html
CÔNG TY TNHH TM DV SƠN HẰNG,,111058598,"Thôn Cổ Trai, Xã Đại Xuyên, Huyện Phú Xuyên, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),21/05/2025,Bán buôn chuyên doanh khác chưa được phân vào đâu,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-TM-DV-Son-Hang-58598.html
CÔNG TY TNHH NHẬT MINH DALAT MART,"NHAT MINH DALAT MART CO.,LTD",111058527,"Số 5 ngõ 971/24 Hồng Hà , Phường Chương Dương, Quận Hoàn Kiếm, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),21/05/2025,"Bán lẻ lương thực, thực phẩm, đồ uống, thuốc lá, thuốc lào chiếm tỷ trọng lớn trong các cửa hàng kinh doanh tổng hợp",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Nhat-Minh-Dalat-Mart-58527.html
CÔNG TY TNHH TK JEWELRY,,111058076,"43-24 Khu D - Khu đô thị Geleximco Lê Trọng Tấn, Xã La Phù, Huyện Hoài Đức, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),21/05/2025,Bán lẻ hàng hóa khác mới trong các cửa hàng chuyên doanh,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Tk-Jewelry-58076.html
CÔNG TY TNHH LIVESTREAM PLAYERDOU,,111058541,"Tầng 7, SỐ113-115 Lê Duẩn, Phường Cửa Nam, Quận Hoàn Kiếm, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),21/05/2025,Bán lẻ theo yêu cầu đặt hàng qua bưu điện hoặc internet,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Livestream-Playerdou-58541.html
CÔNG TY CỔ PHẦN TAMASHI,TAMASHI,111058051,"Xóm 3, thôn Đồng Nhân, Xã Đông La, Huyện Hoài Đức, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),21/05/2025,"Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng",https://infodoanhnghiep.com/thong-tin/Cong-Ty-Co-Phan-Tamashi-58051.html
CÔNG TY TNHH THP HÀ NỘI XANH,THP HÀ NỘI XANH,111058478,"Số 202 đường Phan Đình Giót, Tổ dân phố số 2, Phường La Khê, Quận Hà Đông, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),21/05/2025,Tổ chức giới thiệu và xúc tiến thương mại,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Thp-Ha-Noi-Xanh-58478.html
CÔNG TY TNHH KHANG NGỌC HTC,"KHANG NGOC HTC CO., LTD",111058037,"Số nhà 35, ngõ 229, thôn Ải, Xã Di Trạch, Huyện Hoài Đức, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),21/05/2025,Bán buôn thực phẩm,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Khang-Ngoc-Htc-58037.html
CÔNG TY TNHH THƯƠNG MẠI VÀ ĐÀO TẠO THẠCH HÀ,"THACH HA TRADING AND TRAINING CO., LTD",111058012,"SỐ18- LK37 Khu đô thị Vân Canh, Xã Vân Canh, Huyện Hoài Đức, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),21/05/2025,Giáo dục khác chưa được phân vào đâu,https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Thuong-Mai-Va-Dao-Tao-Thach-Ha-58012.html
CÔNG TY TNHH THƯƠNG MẠI HD MEDISKIN,"HD MEDISKIN TRADING CO.,LTD",111057996,"BT13-11 Khu đô thị Hoa Phượng An Khánh, Xã An Khánh, Huyện Hoài Đức, Hà Nội",Đang hoạt động (đã được cấp GCN ĐKT),21/05/2025,"Bán lẻ thuốc, dụng cụ y tế, mỹ phẩm và vật phẩm vệ sinh trong các cửa hàng chuyên doanh",https://infodoanhnghiep.com/thong-tin/Cong-Ty-TNHH-Thuong-Mai-HD-Mediskin-57996.html
